geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_vgPc_change
CG16888	8.82601357212512	4.04788370570054	1.3580868955199	2.98057784008802	0.00287705108767779	0.0099178790908868	enriched in absence of Pc and vg
b	47.2608151400378	-2.30702187026995	0.631676147946127	-3.65222254753666	0.000259980424185624	0.00123825153148787	depleted in absence of Pc and vg
CG8997	11.8085580339001	-4.38901776397583	1.27678779819988	-3.43754676396801	0.000587009347858786	0.00252851003906107	depleted in absence of Pc and vg
CG7953	13.4320341685412	-4.43229846935687	1.06939555764117	-4.14467634327324	3.40294000525476e-05	0.000204194784648107	depleted in absence of Pc and vg
Ance	16651.6993051652	-2.25340489340328	0.155860158265595	-14.4578635007116	2.23632292620331e-47	9.55339951590004e-45	depleted in absence of Pc and vg
Ance-3	9.65504526965127	-2.60752331600909	1.09305527958588	-2.38553654577927	0.0170542278160366	0.0443194450989046	depleted in absence of Pc and vg
CG16886	39.5116779118417	-6.21724787559814	0.805103110909367	-7.72230015181004	1.14248965524607e-14	3.55451893580338e-13	depleted in absence of Pc and vg
CG42711	30.6175305499118	-1.50185476939766	0.392680545233586	-3.8246222982712	0.000130972719742724	0.000676926011252878	depleted in absence of Pc and vg
CG16885	660.248284482093	-2.67760753608032	0.995656992698362	-2.6892871297209	0.00716047995228913	0.0214024356378028	depleted in absence of Pc and vg
CG16884	589.479341239695	-2.93798817139452	1.22213236824587	-2.40398523738589	0.0162174281786869	0.0424427367532223	depleted in absence of Pc and vg
NimA	78.8917190518635	1.89771152201216	0.414291603854506	4.58061786518515	4.63604252438271e-06	3.41010094823303e-05	enriched in absence of Pc and vg
NimB3	45.0729155027497	-4.89201558718345	1.82593208937994	-2.67918813390519	0.00738009153611345	0.0219466336523727	depleted in absence of Pc and vg
Cyp28a5	39.3948240328773	-3.44055066022395	0.980582042254548	-3.50868210100346	0.000450332827517843	0.00200796736862332	depleted in absence of Pc and vg
NimC2	161.82696925384	-2.97799625607256	1.10495132805963	-2.6951379490191	0.00703594949013504	0.0210755908810491	depleted in absence of Pc and vg
hll	56.9501346797448	-4.12570892253519	1.41233911343243	-2.92118860357015	0.00348698664509425	0.0117185962684	depleted in absence of Pc and vg
NimC4	3.62295049997485	4.2631218267956	1.56416978274535	2.72548534936738	0.00642070258873315	0.0195986126116348	enriched in absence of Pc and vg
CG46301	70.7004539975682	-1.34760852121837	0.366111951045848	-3.68086460266796	0.00023244441922432	0.0011259311662994	depleted in absence of Pc and vg
CG43333	239.51555919426	-1.16838571454294	0.191212455373259	-6.11040589517133	9.93780628953992e-10	1.46004251928466e-08	depleted in absence of Pc and vg
