geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
CG31148	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG6432	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG10513	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG31087	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG14245	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG18472	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG6296	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG5984	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG10000	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG31041	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG7912	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG31029	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG15533	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG15534	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG9702	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG11318	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG15564	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG11340	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG3699	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG11384	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG14054	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG18031	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG16781	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG2901	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG2930	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG34434	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG42264	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG6048	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG32750	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG14443	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG4095	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG2120	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG12057	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG42249	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG9360	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG32650	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG44437	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG15742	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG32633	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG11162	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG11068	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG43088	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG9512	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG12398	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG9981	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG9673	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG4653	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG12998	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG43133	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG34330	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG7992	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG15450	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG1304	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG1722	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG17599	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44185	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CR44985	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR43857	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44991	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45700	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44980	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44911	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44269	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR44917	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR44918	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR44169	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
